"id","year_start","year_end","description","stack","cms","link","active"
"Fundacio Josep Carreras - Abrelapuerta",2016,2016,"Microsite y newsletter, para dar a conocer la existencia de los pisos de acogida y recoger donativos para la fundacion.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://web.archive.org/web/20170511103500/http://abrelapuerta.org/",
"Fundacio Merce Rodoreda",2017,2024,"Desarrollo web para la fundacio Merce Rodoreda, con multiples secciones y 2 buscadores internos.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://www.mercerodoreda.cat/",
"Fundacio Rosa Oriol",2018,2024,"Página web de la fundacio del convent de Santa Clara, donde se describe el proyecto. Con un aparatado de donaciones con un TPV de redsys y blog con plantilla.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://www.fsantaclara.org/",
"Germaine De Capuccini",2020,2024,"Plataforma que hace uso de Dropbox y su API, que permite al equipo de Germain de Capuccini compartir archivos de manera rápida e intuitiva con todos sus colaboradores, partners o clientes. Tambien tiene un sistema de comunicación de contenido via email.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://germainedecapuccinicloud.com/",
"Gonzalez Franco",2014,2023,"Desarrollo de pagina web del bufet de abogados Gonzalez Franco","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://www.gonzalezfranco.com/",
"Google",2013,2013,"Microsite del documental “World Brain The Film”","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, CSS","-","https://web.archive.org/web/20130902195504/http://www.worldbrainthefilm.com/",
"Hawaianas",2019,2020,"Maquetacion de varias landings pages integradas dentro del Salesforce de Havaianas","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Salesforce",,
"Himesa",2023,2024,"Pagina web en wordpress con plantilla completamente personalizada, y con varias secciones dinamicas con sliders personalizados.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress","https://himesa.es/",
"Labeau",2023,2023,"LABEAU ORGANIC es una marca de cosmética sostenible para la que he desarrollado, todos los modulos de la página principal con LIQUID, Javascript y CSS.","LIQUID, JAVASCRIPT, HTML, CSS","Shopify","https://labeauorganic.com/",
"Latavella",2014,2024,"Tienda online a medida, con sistema de suscripcion de cestas, personalizacion de cestas, compras puntuales e integracion de Mailchimp y ERP. Desarrollo completo y mantenimiento, tanto del Frontend y Backend","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio, Wordpress","https://latavella.cat/",
"Lecta",2018,2018,"Maquetacion de varias landings pages integradas dentro Hybris de cliente.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","-",,
"Luxlu",2023,2024,"Personalizacion completa de plantilla en Shopify y ajuste y personalizacion de modulos.","LIQUID, JAVASCRIPT, HTML, CSS","Shopify","https://luxlushop.com/",
"Malabars - Gestión",2009,2024,"Coordinacion y gestion de proyectos web.",,"-","https://malabars.com/",
"Malabars - Web",2009,2024,"Desarrollo web pagina de presentacion de la compañía de marketing digital Malabars, y gestion del portafolio.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://malabars.com/",
"Malabars - CMS",2010,2023,"Desarrollo de una base de programacion para implementacion en diferentes proyectos de clientes de forma agil.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","-","https://github.com/quarkcodemj/fritter",
"Malabars - Hostings y Dominios",2009,2024,"Gestion de servidores para Malabars, donde se hospedabas la mayoria de clientes. Gestionando varios servidores virtuales y dedicados, hostings, cuentas de correo, dominios, registros DNS .. En diferentes Hostings como CDMON, AWS, Nominalia, Hostinger, GoDaddy, Hostalia",,"CDMON, AWS, Nominalia, Hostinger, GoDaddy, Hostalia","https://malabars.com/",
"Malabars - HAL / Intranet",2023,2024,"Intranet para el fichaje, gestion de vacaciones e informacion de empleados. Utilizando la API de slack y un Bot, para una integracion sencilla con los empleados.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress",,
"Maxiloclinic",2017,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio, Wordpress","https://maxiloclinic.com/",
"Pelostop",2016,2017,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio, Wordpress",,
"Pharmalink",2020,2020,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress",,
"Scbcn",2018,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://www.scbcn.com/es-ca/",
"Suot",2021,2021,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","-",,
"Revlon International",2018,2024,"Plataforma que hace uso de Dropbox y su API, que permite al equipo de CND compartir archivos de manera rápida e intuitiva con todos sus colaboradores, partners o clientes. Tambien tiene un sistema de comunicación de contenido via email.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://internationalrevlon.com/",
"TOUS - Landings",2018,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","Zend Framework","https://www.tous.com/es-es/",
"TOUS - Heritage",2020,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://heritage.tous.com/",
"TOUS - News",2020,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://press-room.tous.com/es-es/",
"TOUS - Press site",2016,2024,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://press.tousroom.com/",
"TOUS - Tousroom",2015,2023,"Plataforma que hace uso de Dropbox y su API, que permite al equipo de TOUS compartir archivos de manera rápida e intuitiva con todos sus colaboradores, partners o clientes. Tambien tiene un sistema de comunicación de contenido via email.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://tousroom.com/",
"TOUS - touswatches.es",2021,2021,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://touswatches.es/es-es/",
"TOUS - touswatches.com",2021,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://touswatches.com/",
"Textura - Landings",2018,2019,"Maquetacion de varias landings pages.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","-",,
"Alvarez Moixonet",2020,2020,"Mantenimiento y correccion de errores de tienda online de venta de zapatos.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress - Woocomerce",,
"Trusbin",2022,2024,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://trusbinacufenos.com/",
"Yasuni",2019,2023,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://yasuni.com/",
"Ysana",2020,2020,,"PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://ysana.com/",
"CND Brand Center",2018,2024,"Plataforma que hace uso de Dropbox y su API, que permite al equipo de CND compartir archivos de manera rápida e intuitiva con todos sus colaboradores, partners o clientes. Tambien tiene un sistema de comunicación de contenido via email.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://cndbrandcenter.com/",
"Costabrava Top Charter",2023,2023,"Desarrollo pagina web en wordpress de reservas para excursiones en yate por el mediterraneo. Plantilla personalizada y contenidos facilmente editables atraves del plugin Elementor.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress","https://costabravatopcharter.com/",
"Velvet Room BCN",2023,2023,"Migración y re-diseño de wordpress, instalando nuevos modulos para gestion de idiomas y personalizacion de plugins para mejorar la apariencia del sitio.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress","https://www.velvetroombcn.com/",
"Slowmov",2023,2023,"Mantenimiento y correccion de errores de tienda online con woocomerce de venta de café que estaba arrastrando diferentes errores de programacion e incompatibilidades de plugins instalados.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress - Woocomerce","https://slowmov.com/",
"Bufete Domenech",2020,2020,"Desarrollo de pagina web del bufet de abogados Domenech","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","Wordpress","http://www.bufetedomenech.com/",
